observation_date,MANMM101JPM189S
1991-08-01,148225727357090.0000
1991-09-01,149038167020721.0000
1991-10-01,150186345159149.0000
1991-11-01,152069177513161.0000
1991-12-01,152257460748562.0000
1992-01-01,151973349614525.0000
1992-02-01,151666267989111.0000
1992-03-01,152663708735598.0000
1992-04-01,152279203383867.0000
1992-05-01,151807239892128.0000
1992-06-01,152146840525400.0000
1992-07-01,152138715453659.0000
1992-08-01,153177571171393.0000
1992-09-01,153529421191965.0000
1992-10-01,153701005478903.0000
1992-11-01,154029841696304.0000
1992-12-01,155082315789562.0000
1993-01-01,154528429987878.0000
1993-02-01,154633357690807.0000
1993-03-01,154977013830894.0000
1993-04-01,155798613241927.0000
1993-05-01,157837472680296.0000
1993-06-01,157584028571992.0000
1993-07-01,158069487318632.0000
1993-08-01,158130671111669.0000
1993-09-01,157691360145249.0000
1993-10-01,158358459126259.0000
1993-11-01,158946054480335.0000
1993-12-01,160560772757395.0000
1994-01-01,161454704566014.0000
1994-02-01,162699800207899.0000
1994-03-01,163868433938748.0000
1994-04-01,164921145342326.0000
1994-05-01,165400389694303.0000
1994-06-01,165412530059969.0000
1994-07-01,166467278920759.0000
1994-08-01,167403557923420.0000
1994-09-01,168354589977939.0000
1994-10-01,168270080223220.0000
1994-11-01,167587480751698.0000
1994-12-01,169320077522205.0000
1995-01-01,170079643276465.0000
1995-02-01,170526218676722.0000
1995-03-01,171477659887707.0000
1995-04-01,173138762667645.0000
1995-05-01,174957020642486.0000
1995-06-01,176597859182730.0000
1995-07-01,179307541755224.0000
1995-08-01,182045369698724.0000
1995-09-01,185338138012295.0000
1995-10-01,188423592232555.0000
1995-11-01,190832672708994.0000
1995-12-01,190983710143457.0000
1996-01-01,194945618334447.0000
1996-02-01,197186751656474.0000
1996-03-01,198271484630144.0000
1996-04-01,200586492974721.0000
1996-05-01,202030659212030.0000
1996-06-01,203899263009123.0000
1996-07-01,205084539121501.0000
1996-08-01,206843356844197.0000
1996-09-01,207940670476224.0000
1996-10-01,209252651004082.0000
1996-11-01,210867526279828.9688
1996-12-01,212199935083584.0312
1997-01-01,214590342830983.0000
1997-02-01,216034721828285.0000
1997-03-01,217697276686216.0000
1997-04-01,218346795307620.0000
1997-05-01,219915763655980.0000
1997-06-01,221288728505270.0000
1997-07-01,221829920139468.0000
1997-08-01,222586855549642.0000
1997-09-01,224425216623552.0000
1997-10-01,225073219185276.9688
1997-11-01,228316138801134.9688
1997-12-01,232532184552060.0312
1998-01-01,236076889392950.0000
1998-02-01,238542149485650.0000
1998-03-01,236967615010422.0000
1998-04-01,236987209453378.0000
1998-05-01,236637133380916.0312
1998-06-01,238035270785314.0000
1998-07-01,240006589061944.0000
1998-08-01,241756138482809.0312
1998-09-01,242971317172459.0000
1998-10-01,245224955259951.0312
1998-11-01,247959037732211.0000
1998-12-01,249095859285168.0000
1999-01-01,248981324224854.0000
1999-02-01,252143805594351.0000
1999-03-01,257752478498713.0312
1999-04-01,258256751573126.0312
1999-05-01,262309064037709.0000
1999-06-01,265534932039040.0000
1999-07-01,268383804094392.0000
1999-08-01,271286101282426.0312
1999-09-01,274300909290561.0000
1999-10-01,276058701379524.0000
1999-11-01,278576880196681.0000
1999-12-01,280832504318527.0000
2000-01-01,282860926170901.0000
2000-02-01,284428305111915.0000
2000-03-01,284981208915834.0000
2000-04-01,286407813359657.0000
2000-05-01,287113245710851.0000
2000-06-01,287352296751074.0000
2000-07-01,287571189250437.0000
2000-08-01,288357955582489.0000
2000-09-01,288399383179876.0000
2000-10-01,291543613332536.0000
2000-11-01,292916017972501.0000
2000-12-01,293816005241241.0000
2001-01-01,296529824793825.0000
2001-02-01,297093167059961.0000
2001-03-01,299148225876404.0000
2001-04-01,303205967171112.0000
2001-05-01,306214163277266.0000
2001-06-01,309224141010326.0000
2001-07-01,312262802051435.0000
2001-08-01,314950974928714.0000
2001-09-01,319850522049453.0000
2001-10-01,324776934141074.0000
2001-11-01,329450244276788.0000
2001-12-01,337351214320211.0000
2002-01-01,344195310379429.0000
2002-02-01,353537066998541.0000
2002-03-01,369430428910650.0000
2002-04-01,402610765662384.0000
2002-05-01,403211364784778.0000
2002-06-01,405777294300524.0000
2002-07-01,409057271223126.0000
2002-08-01,413690750409123.0625
2002-09-01,415515232862143.0625
2002-10-01,418565248533804.9375
2002-11-01,422399859570272.0000
2002-12-01,423386093098837.0625
2003-01-01,424406159509524.0000
2003-02-01,426577923247606.0000
2003-03-01,424262774676699.0625
2003-04-01,421519600000000.0000
2003-05-01,424695900000000.0000
2003-06-01,428162900000000.0000
2003-07-01,430233800000000.0000
2003-08-01,434736700000000.0000
2003-09-01,436543800000000.0000
2003-10-01,438061900000000.0000
2003-11-01,439624200000000.0000
2003-12-01,437700300000000.0000
2004-01-01,439799600000000.0000
2004-02-01,442448200000000.0000
2004-03-01,441971600000000.0000
2004-04-01,440453600000000.0000
2004-05-01,444564900000000.0000
2004-06-01,445443300000000.0000
2004-07-01,449101600000000.0000
2004-08-01,452244100000000.0000
2004-09-01,454139800000000.0000
2004-10-01,456832500000000.0000
2004-11-01,457115200000000.0000
2004-12-01,457254900000000.0000
2005-01-01,459194200000000.0000
2005-02-01,460074200000000.0000
2005-03-01,462729700000000.0000
2005-04-01,462187200000000.0000
2005-05-01,464392500000000.0000
2005-06-01,466183000000000.0000
2005-07-01,469576800000000.0000
2005-08-01,472043300000000.0000
2005-09-01,476367700000000.0000
2005-10-01,478632800000000.0000
2005-11-01,479512000000000.0000
2005-12-01,481028300000000.0000
2006-01-01,481937400000000.0000
2006-02-01,482788300000000.0000
2006-03-01,483412300000000.0000
2006-04-01,484356000000000.0000
2006-05-01,484180200000000.0000
2006-06-01,484098200000000.0000
2006-07-01,484274500000000.0000
2006-08-01,483538700000000.0000
2006-09-01,483809200000000.0000
2006-10-01,482555200000000.0000
2006-11-01,481831200000000.0000
2006-12-01,481709900000000.0000
2007-01-01,482092500000000.0000
2007-02-01,482952100000000.0000
2007-03-01,483089300000000.0000
2007-04-01,482688200000000.0000
2007-05-01,482457300000000.0000
2007-06-01,483094700000000.0000
2007-07-01,482995700000000.0000
2007-08-01,481039600000000.0000
2007-09-01,481974700000000.0000
2007-10-01,483505100000000.0000
2007-11-01,483611600000000.0000
2007-12-01,484547200000000.0000
2008-01-01,483864000000000.0000
2008-02-01,482897700000000.0000
2008-03-01,481684800000000.0000
2008-04-01,478835100000000.0000
2008-05-01,479420000000000.0000
2008-06-01,481181200000000.0000
2008-07-01,479540500000000.0000
2008-08-01,479850000000000.0000
2008-09-01,479657500000000.0000
2008-10-01,478164600000000.0000
2008-11-01,479792600000000.0000
2008-12-01,479752100000000.0000
2009-01-01,480222800000000.0000
2009-02-01,481506100000000.0000
2009-03-01,481907700000000.0000
2009-04-01,481483100000000.0000
2009-05-01,483009400000000.0000
2009-06-01,483382900000000.0000
2009-07-01,482493200000000.0000
2009-08-01,483365200000000.0000
2009-09-01,483782600000000.0000
2009-10-01,483450900000000.0000
2009-11-01,484917000000000.0000
2009-12-01,484882600000000.0000
2010-01-01,485869400000000.0000
2010-02-01,485928900000000.0000
2010-03-01,486890600000000.0000
2010-04-01,488685600000000.0000
2010-05-01,492173300000000.0000
2010-06-01,491189300000000.0000
2010-07-01,492491700000000.0000
2010-08-01,493977100000000.0000
2010-09-01,495306400000000.0000
2010-10-01,497573200000000.0000
2010-11-01,498743000000000.0000
2010-12-01,499924000000000.0000
2011-01-01,501834000000000.0000
2011-02-01,503396000000000.0000
2011-03-01,507443700000000.0000
2011-04-01,513610500000000.0000
2011-05-01,515927200000000.0000
2011-06-01,515499300000000.0000
2011-07-01,518116600000000.0000
2011-08-01,519005700000000.0000
2011-09-01,521030200000000.0000
2011-10-01,522812500000000.0000
2011-11-01,524467600000000.0000
2011-12-01,526120800000000.0000
2012-01-01,527433900000000.0000
2012-02-01,528177900000000.0000
2012-03-01,529882400000000.0000
2012-04-01,531208500000000.0000
2012-05-01,531087200000000.0000
2012-06-01,532394300000000.0000
2012-07-01,534120400000000.0000
2012-08-01,536462500000000.0000
2012-09-01,539518700000000.0000
2012-10-01,539793500000000.0000
2012-11-01,540682700000000.0000
2012-12-01,543631000000000.0000
2013-01-01,546205200000000.0000
2013-02-01,548454100000000.0000
2013-03-01,551421000000000.0000
2013-04-01,552667400000000.0000
2013-05-01,554704400000000.0000
2013-06-01,559861300000000.0000
2013-07-01,562306700000000.0000
2013-08-01,564257000000000.0000
2013-09-01,567291400000000.0000
2013-10-01,569412500000000.0000
2013-11-01,571452300000000.0000
2013-12-01,574685500000000.0000
2014-01-01,578397900000000.0000
