date,SAV,STDSL,MA
1994-02-01,1345.4032636673371,769.8,2115.203263667337
1994-03-01,1353.8697759548409,765.8,2119.6697759548406
1994-04-01,1357.2618965130266,763.7,2120.9618965130267
1994-05-01,1345.8169369061404,764.8,2110.6169369061404
1994-06-01,1342.176612404673,767.9,2110.076612404673
1994-07-01,1337.5986285619183,773.3,2110.8986285619185
1994-08-01,1326.644561198412,779.6,2106.244561198412
1994-09-01,1315.9221508486353,786.2,2102.122150848635
1994-10-01,1300.3900996423743,796.2,2096.5900996423743
1994-11-01,1289.7228457244378,807.2,2096.922845724438
1994-12-01,1271.2730192738186,817.5,2088.7730192738186
1995-01-01,1248.7416168670088,833.4,2082.141616867009
1995-02-01,1228.1131113586935,853.5,2081.6131113586935
1995-03-01,1216.7233081836475,876.2,2092.9233081836474
1995-04-01,1209.222033453351,893.1,2102.322033453351
1995-05-01,1199.652392529039,906.9,2106.552392529039
1995-06-01,1215.6477577627595,913.6,2129.2477577627596
1995-07-01,1214.2798782531172,919.1,2133.379878253117
1995-08-01,1221.9355909925669,922.7,2144.635590992567
1995-09-01,1226.7893569945234,925.3,2152.0893569945233
1995-10-01,1233.8273176973605,927.1,2160.9273176973606
1995-11-01,1242.2331579098397,930.6,2172.83315790984
1995-12-01,1250.8375612769448,932.3,2183.137561276945
1996-01-01,1263.082289145517,933.2,2196.282289145517
1996-02-01,1275.2442823663287,934.4,2209.6442823663288
1996-03-01,1297.4171679661756,933.1,2230.5171679661757
1996-04-01,1313.3628924112397,932.8,2246.1628924112397
1996-05-01,1317.4113745083264,932.2,2249.6113745083267
1996-06-01,1332.910331855483,931.4,2264.310331855483
1996-07-01,1340.3012937220988,933.4,2273.701293722099
1996-08-01,1354.917748159809,937.6,2292.517748159809
1996-09-01,1359.9369834572867,940.9,2300.836983457287
1996-10-01,1378.5798574193473,944.0,2322.5798574193473
1996-11-01,1391.2106803108024,946.5,2337.7106803108027
1996-12-01,1401.0174938920281,947.9,2348.9174938920282
1997-01-01,1412.7216887285645,949.0,2361.7216887285645
1997-02-01,1413.4387223424899,950.8,2364.23872234249
1997-03-01,1439.8255593349445,952.0,2391.8255593349445
1997-04-01,1466.3888969092889,954.1,2420.488896909289
1997-05-01,1457.0950381441787,958.5,2415.595038144179
1997-06-01,1466.697772927595,962.0,2428.697772927595
1997-07-01,1478.3026861868184,965.0,2443.3026861868184
1997-08-01,1487.403497440487,966.3,2453.703497440487
1997-09-01,1497.7839379128534,966.8,2464.5839379128533
1997-10-01,1517.4361745775934,967.5,2484.936174577593
1997-11-01,1526.7851897745438,967.1,2493.885189774544
1997-12-01,1540.0999524208203,967.5,2507.59995242082
1998-01-01,1557.0384926390118,968.9,2525.9384926390117
1998-02-01,1564.7328148807499,969.2,2533.93281488075
1998-03-01,1596.3374503253078,968.8,2565.137450325308
1998-04-01,1634.8642179658384,967.6,2602.4642179658385
1998-05-01,1623.3365237111914,965.7,2589.0365237111914
1998-06-01,1641.5436618617125,965.5,2607.0436618617123
1998-07-01,1667.4065127516835,963.6,2631.0065127516837
1998-08-01,1677.1085291124127,960.6,2637.7085291124126
1998-09-01,1700.4727936400125,958.9,2659.3727936400123
1998-10-01,1715.3374520210045,957.8,2673.1374520210047
1998-11-01,1735.839097736087,954.9,2690.739097736087
1998-12-01,1769.5562245201331,951.2,2720.7562245201334
1999-01-01,1786.0479976404174,946.1,2732.1479976404175
1999-02-01,1792.3082526543044,941.7,2734.0082526543047
1999-03-01,1818.5737454967104,939.0,2757.57374549671
1999-04-01,1861.253792454824,936.4,2797.653792454824
1999-05-01,1848.2699683995902,933.1,2781.36996839959
1999-06-01,1881.551359372097,929.7,2811.251359372097
1999-07-01,1899.7529818794342,930.8,2830.552981879434
1999-08-01,1903.1175242216996,932.2,2835.3175242216994
1999-09-01,1920.9606299220738,936.6,2857.560629922074
1999-10-01,1918.0373390345317,941.5,2859.5373390345317
1999-11-01,1917.0610701909566,948.8,2865.8610701909565
1999-12-01,1924.8491583668233,955.0,2879.8491583668233
2000-01-01,1909.471545169715,963.2,2872.671545169715
2000-02-01,1923.4150911389722,971.9,2895.315091138972
2000-03-01,1951.2966674343024,980.1,2931.3966674343023
2000-04-01,1984.6387304818336,988.9,2973.5387304818337
2000-05-01,1952.714187732601,993.5,2946.214187732601
2000-06-01,1974.1590084321547,1004.1,2978.2590084321546
2000-07-01,1978.1743966701372,1014.2,2992.3743966701372
2000-08-01,2002.2336322389262,1023.2,3025.4336322389263
2000-09-01,2026.6955097601503,1029.3,3055.9955097601505
2000-10-01,2019.4093451140318,1034.8,3054.2093451140317
2000-11-01,2047.9307360187104,1040.1,3088.0307360187103
2000-12-01,2073.330272881222,1046.0,3119.330272881222
2001-01-01,2082.9054294487178,1051.8,3134.705429448718
2001-02-01,2113.649624556566,1052.2,3165.8496245565657
2001-03-01,2174.845685683507,1048.8,3223.6456856835066
2001-04-01,2224.8780850059475,1044.1,3268.9780850059474
2001-05-01,2232.8978301955444,1039.3,3272.197830195544
2001-06-01,2278.8431379186104,1031.1,3309.9431379186103
2001-07-01,2293.6471242245784,1022.9,3316.5471242245785
2001-08-01,2345.2239036385504,1016.1,3361.3239036385503
2001-09-01,2402.090184866019,1010.0,3412.090184866019
2001-10-01,2418.521285911279,1001.0,3419.521285911279
2001-11-01,2495.525180403683,988.2,3483.725180403683
2001-12-01,2544.5868265257327,974.5,3519.0868265257327
2002-01-01,2583.416954541385,960.8,3544.2169545413853
2002-02-01,2622.4677082843996,949.8,3572.2677082843993
2002-03-01,2680.161335989474,940.5,3620.661335989474
2002-04-01,2721.79341074262,932.6,3654.39341074262
2002-05-01,2741.550444627857,927.8,3669.3504446278566
2002-06-01,2777.6227510514886,924.2,3701.822751051489
2002-07-01,2800.093481383274,920.6,3720.693481383274
2002-08-01,2881.2341082637095,915.7,3796.9341082637093
2002-09-01,2915.921988248146,908.1,3824.021988248146
2002-10-01,2971.442452538709,902.8,3874.2424525387087
2002-11-01,3035.28602239399,899.4,3934.6860223939902
2002-12-01,3053.349753821726,894.8,3948.1497538217263
2003-01-01,3093.3933233378675,888.5,3981.8933233378675
2003-02-01,3110.4918172083962,882.2,3992.691817208396
2003-03-01,3166.0895005035354,877.4,4043.4895005035355
2003-04-01,3244.6874158761275,872.3,4116.987415876128
2003-05-01,3261.841066178497,865.4,4127.241066178497
2003-06-01,3301.0462579306645,858.3,4159.346257930664
2003-07-01,3381.1168500333956,847.4,4228.516850033396
2003-08-01,3442.092285432975,836.7,4278.792285432975
2003-09-01,3431.7449388197133,829.6,4261.344938819713
2003-10-01,3457.701555643813,824.3,4282.001555643813
2003-11-01,3483.7905479043293,820.4,4304.190547904329
2003-12-01,3485.51142857775,818.4,4303.91142857775
2004-01-01,3501.4681843091826,815.7,4317.168184309183
2004-02-01,3517.932379213547,813.5,4331.432379213547
2004-03-01,3586.05057253646,811.4,4397.45057253646
2004-04-01,3688.586379327792,808.6,4497.186379327793
2004-05-01,3704.8354641479796,805.5,4510.33546414798
2004-06-01,3741.4262410309107,804.9,4546.326241030911
2004-07-01,3766.136322495417,805.7,4571.836322495417
2004-08-01,3757.2120118236376,807.9,4565.112011823638
2004-09-01,3821.927053301997,810.5,4632.427053301997
2004-10-01,3835.467957318819,815.2,4650.667957318819
2004-11-01,3852.7870769167093,820.9,4673.687076916709
2004-12-01,3883.784991611023,828.7,4712.484991611023
2005-01-01,3843.079544912797,840.4,4683.479544912797
2005-02-01,3849.4776910062847,853.5,4702.977691006285
2005-03-01,3880.4480274846783,868.1,4748.548027484679
2005-04-01,3929.013265720164,884.5,4813.513265720164
2005-05-01,3844.998988740843,902.9,4747.8989887408425
2005-06-01,3890.8450148865963,919.2,4810.045014886597
2005-07-01,3906.2060811541523,933.8,4840.0060811541525
2005-08-01,3895.014841133732,948.5,4843.514841133732
2005-09-01,3939.189627394721,959.9,4899.089627394721
2005-10-01,3929.586892611304,968.4,4897.986892611304
2005-11-01,3966.2438572124443,980.4,4946.643857212444
2005-12-01,3981.6876581277606,993.7,4975.387658127761
2006-01-01,3962.6807517155535,1007.4,4970.080751715554
2006-02-01,3980.3914819795114,1025.0,5005.391481979512
